127.0.0.1 - - [21/Mar/2021:23:07:56 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:06 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:10 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:30 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:32 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:08:34 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:10:48 -0300] "GET /gerenciador/novaEmpresa?nome=BBparts HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:10:50 -0300] "GET /gerenciador/novaEmpresa?nome=BBparts HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:10:57 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:10:59 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:11:22 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:11:27 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:14:04 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Mar/2021:23:14:29 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 404 790
